"","Service_Quality","Travel_Experience_Affect","Cognitive_Evaluation","Subjective_Well_Being","Customer_Loyalty","Willingness_to_Pay"
"SQ1",0.759669870719246,0,0,0,0,0
"SQ2",0.725249506483666,0,0,0,0,0
"SQ3",0.769506051972374,0,0,0,0,0
"SQ4",0.735746987968251,0,0,0,0,0
"SQ5",0.439132833652533,0,0,0,0,0
"TEA1",0,0.865886658199282,0,0,0,0
"TEA2",0,0.851389147045147,0,0,0,0
"TEA3",0,0.830777853328174,0,0,0,0
"TEA4",0,0.771135203974775,0,0,0,0
"CET1",0,0,0.871786242698223,0,0,0
"CET2",0,0,0.896167175152593,0,0,0
"CET3",0,0,0.921388394387265,0,0,0
"CET4",0,0,0.770882032435354,0,0,0
"SWB1",0,0,0,0.847566481586791,0,0
"SWB2",0,0,0,0.90953196977805,0,0
"SWB3",0,0,0,0.750924678964808,0,0
"SWB4",0,0,0,0.881986708062665,0,0
"CL1",0,0,0,0,0.898396754133421,0
"CL2",0,0,0,0,0.871299061029634,0
"CL3",0,0,0,0,0.874519502887704,0
"CL4",0,0,0,0,0.704733417230188,0
"WTP1",0,0,0,0,0,0.923778524603393
"WTP2",0,0,0,0,0,0.900820808429527
"WTP3",0,0,0,0,0,0.712137842980101
